age,gender,education,experience_years,applied_role,hired
28,Male,Bachelor's,4,Software Engineer,yes
35,Female,Master's,10,Software Engineer,no
24,Male,Bachelor's,1,Data Analyst,yes
42,Female,PhD,15,Software Engineer,yes
31,Male,Bachelor's,6,Data Analyst,yes
27,Female,Bachelor's,2,Software Engineer,no
38,Male,Master's,12,Data Analyst,yes
25,Female,Bachelor's,1,Software Engineer,no
33,Male,Bachelor's,8,Software Engineer,yes
29,Female,Master's,5,Data Analyst,no
45,Male,PhD,20,Software Engineer,yes
22,Female,Bachelor's,0,Data Analyst,no
36,Male,Master's,11,Software Engineer,yes
28,Female,Bachelor's,3,Software Engineer,no
40,Male,Master's,16,Data Analyst,yes
26,Female,Bachelor's,2,Software Engineer,no
32,Male,Bachelor's,7,Data Analyst,yes
30,Female,Master's,6,Software Engineer,no
48,Male,PhD,22,Software Engineer,yes
23,Female,Bachelor's,1,Data Analyst,yes
37,Male,Master's,13,Software Engineer,yes
25,Female,Bachelor's,2,Software Engineer,no
41,Male,PhD,17,Data Analyst,yes
29,Female,Master's,4,Software Engineer,no
34,Male,Bachelor's,9,Software Engineer,yes
27,Female,Bachelor's,3,Data Analyst,no
39,Male,Master's,14,Software Engineer,yes
24,Female,Bachelor's,1,Software Engineer,no
43,Male,PhD,19,Data Analyst,yes
28,Female,Master's,5,Software Engineer,no
31,Male,Bachelor's,6,Software Engineer,yes
26,Female,Bachelor's,2,Data Analyst,no
36,Male,Master's,11,Software Engineer,yes
30,Female,Bachelor's,5,Software Engineer,no
44,Male,PhD,18,Data Analyst,yes
22,Female,Bachelor's,0,Software Engineer,no
38,Male,Master's,13,Software Engineer,yes
27,Female,Bachelor's,3,Data Analyst,no
33,Male,Bachelor's,8,Software Engineer,yes
29,Female,Master's,5,Software Engineer,no
47,Male,PhD,21,Software Engineer,yes
24,Female,Bachelor's,1,Data Analyst,no
35,Male,Master's,10,Software Engineer,yes
28,Female,Bachelor's,3,Software Engineer,no
42,Male,PhD,16,Data Analyst,yes
23,Female,Bachelor's,1,Software Engineer,no
37,Male,Master's,12,Software Engineer,yes
26,Female,Bachelor's,2,Data Analyst,no
40,Male,PhD,15,Software Engineer,yes
25,Female,Bachelor's,2,Software Engineer,no
